City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,East London,ZA,58.73,clear sky,-33.0153,27.9116,Tu Casa
5,Port Macquarie,AU,58.96,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
7,Port Elizabeth,ZA,62.1,clear sky,-33.918,25.5701,39 On Nile Guest House
9,Jamestown,US,67.32,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
12,Constitucion,CL,62.29,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
13,Hermanus,ZA,60.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
14,Port Alfred,ZA,59.65,clear sky,-33.5906,26.891,The Halyards Hotel
19,Mar Del Plata,AR,64.42,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
23,Carnarvon,AU,62.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
25,Saurimo,AO,64.8,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
26,Bredasdorp,ZA,60.28,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
27,Fukue,JP,63.36,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
28,Nabire,ID,74.71,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
30,Golden,US,61.09,overcast clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
34,Arraial Do Cabo,BR,67.96,mist,-22.9661,-42.0278,Pousada Porto Praia
35,Ushuaia,AR,60.46,scattered clouds,-54.8,-68.3,Albatros Hotel
42,Najran,SA,74.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
43,Mao,ES,64.96,clear sky,39.8885,4.2658,ARTIEM Capri
47,Lata,PT,69.04,overcast clouds,40.1629,-8.3327,Casa Maquia
51,Waharoa,NZ,64.9,broken clouds,-37.7667,175.7667,Broadway Motel & Miro Court Villas
59,Bethel,US,66.58,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
61,Punta Arenas,CL,64.51,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
63,Portree,GB,55.85,overcast clouds,57.4129,-6.1942,The Royal Hotel
71,Mayana,PH,70.07,overcast clouds,9.7561,124.3522,Honey Home
75,Cape Town,ZA,64.81,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
78,Faya,SA,63.12,few clouds,18.3851,42.4509,املاك خالد الشعشوع
79,Gat,IL,70.48,few clouds,31.61,34.7642,OlusHome
82,Boma,GH,73.24,light rain,7.0805,-2.1697,Obaatanpa Hotel
89,Lebu,CL,58.32,clear sky,-37.6167,-73.65,Hostal Las Lilas
93,Saint-Philippe,RE,72.99,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
95,Ribeira Grande,PT,68.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
98,Mae Hong Son,TH,72.95,overcast clouds,19.3003,97.9685,Baiyoke Chalet Hotel
101,Half Moon Bay,US,73.06,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
105,Lang Son,VN,70.21,overcast clouds,21.8333,106.7333,Khai Nga Hotel
111,Margate,GB,64.96,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
119,Muros,ES,68.85,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
120,Coquimbo,CL,58.73,broken clouds,-29.9533,-71.3436,Punto de encuentro
121,Bambous Virieux,MU,73.65,scattered clouds,-20.3428,57.7575,Casa Tia Villa
129,Lompoc,US,72.7,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
132,Saint George,US,68.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
135,Nantucket,US,61.97,few clouds,41.2835,-70.0995,Jared Coffin House
138,Rafsanjan,IR,71.38,clear sky,30.4067,55.9939,Rafsanjan Tourism Hotel
141,Fortuna,US,66.85,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
143,Saint-Pierre,RE,73.08,broken clouds,-21.3393,55.4781,Lindsey Hôtel
