City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
0,Mataura,NZ,-46.1927,168.8643,49.05,56,85,4.05,2021-10-19 20:46:50,overcast clouds
1,Albany,US,42.6001,-73.9662,63.75,52,13,1.01,2021-10-19 20:43:33,few clouds
2,East London,ZA,-33.0153,27.9116,58.73,73,0,9.31,2021-10-19 20:47:10,clear sky
3,Rikitea,PF,-23.1203,-134.9692,75.04,74,0,20.58,2021-10-19 20:47:05,clear sky
4,Gwadar,PK,25.1216,62.3254,79.25,72,0,5.1,2021-10-19 20:51:39,clear sky
5,Port Macquarie,AU,-31.4333,152.9167,58.96,90,100,9.15,2021-10-19 20:47:04,overcast clouds
6,Purwodadi,ID,-7.0868,110.9158,76.33,82,97,8.93,2021-10-19 20:51:44,overcast clouds
7,Port Elizabeth,ZA,-33.918,25.5701,62.1,79,0,12.19,2021-10-19 20:51:28,clear sky
8,Upernavik,GL,72.7868,-56.1549,34.25,77,100,18.48,2021-10-19 20:50:59,overcast clouds
9,Jamestown,US,42.097,-79.2353,67.32,51,1,17.27,2021-10-19 20:51:00,clear sky
10,Xining,CN,36.6167,101.7667,36.86,100,100,1.16,2021-10-19 20:49:24,overcast clouds
11,Butaritari,KI,3.0707,172.7902,82.76,62,1,6.58,2021-10-19 20:50:46,clear sky
12,Constitucion,CL,-35.3333,-72.4167,62.29,63,16,5.95,2021-10-19 20:47:38,few clouds
13,Hermanus,ZA,-34.4187,19.2345,60.8,88,1,11.99,2021-10-19 20:51:11,clear sky
14,Port Alfred,ZA,-33.5906,26.891,59.65,75,6,14.61,2021-10-19 20:52:05,clear sky
15,Yellowknife,CA,62.456,-114.3525,44.42,68,75,14.97,2021-10-19 20:51:06,broken clouds
16,Kuybysheve,UA,47.358,36.6491,37.58,53,1,7.47,2021-10-19 20:52:09,clear sky
17,Angoram,PG,-4.0625,144.0661,74.89,99,100,1.36,2021-10-19 20:52:12,overcast clouds
18,Kapaa,US,22.0752,-159.319,79.48,78,40,1.01,2021-10-19 20:51:06,scattered clouds
19,Mar Del Plata,AR,-38.0023,-57.5575,64.42,72,0,11.5,2021-10-19 20:48:10,clear sky
20,Sabha,LY,27.0377,14.4283,77.97,26,89,11.34,2021-10-19 20:52:21,overcast clouds
21,New Norfolk,AU,-42.7826,147.0587,42.71,77,6,2.01,2021-10-19 20:52:23,clear sky
22,Kabansk,RU,52.0486,106.6528,19.89,87,78,4.74,2021-10-19 20:52:26,broken clouds
23,Carnarvon,AU,-24.8667,113.6333,62.67,72,0,6.91,2021-10-19 20:50:59,clear sky
24,Khomutovka,RU,51.9207,34.5619,33.48,78,35,9.33,2021-10-19 20:52:31,scattered clouds
25,Saurimo,AO,-9.6608,20.3916,64.8,95,91,2.86,2021-10-19 20:50:51,light rain
26,Bredasdorp,ZA,-34.5322,20.0403,60.28,94,13,7.9,2021-10-19 20:50:54,few clouds
27,Fukue,JP,32.6881,128.8419,63.36,53,98,16.64,2021-10-19 20:52:38,overcast clouds
28,Nabire,ID,-3.3667,135.4833,74.71,88,100,3.42,2021-10-19 20:49:17,overcast clouds
29,Ulverstone,AU,-41.15,146.1667,49.21,66,6,9.89,2021-10-19 20:52:43,clear sky
